iter,solution
0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 0 1 2 4 5 8 9 10 13 0 1 2 3 7 8 10 
1,0 1 0 3 4 5 6 7 8 9 10 11 12 13 0 1 2 4 5 6 9 6 13 0 1 2 3 7 0 10 
2,0 1 0 3 4 5 6 7 8 9 10 11 12 13 0 1 2 4 5 6 9 6 13 0 1 2 3 7 0 10 
3,0 2 0 3 4 5 6 7 8 9 10 11 12 13 0 10 3 4 5 6 9 6 13 0 1 2 1 7 0 10 
4,0 2 0 3 4 11 6 7 8 9 10 11 12 12 0 14 3 10 5 6 9 6 13 0 1 2 1 7 0 10 
5,0 2 0 3 4 11 6 7 8 9 10 11 12 12 0 5 3 10 1 6 9 6 13 0 1 2 13 7 1 10 
6,0 2 0 3 4 11 6 7 8 9 10 11 12 12 0 5 3 10 1 6 9 6 13 0 1 2 13 7 1 10 
7,0 2 0 3 4 11 6 7 8 9 10 11 12 12 0 5 3 10 1 6 9 6 13 0 1 2 13 7 1 10 
8,0 2 0 3 4 11 6 7 8 9 10 11 12 12 0 5 3 10 1 6 9 6 13 0 1 2 13 7 1 10 
9,0 2 0 3 4 11 6 7 8 9 10 11 12 12 0 5 3 10 1 6 9 6 13 0 1 2 13 7 1 10 
10,0 2 0 3 4 11 6 7 8 9 10 11 12 12 0 5 3 10 1 6 9 6 13 0 1 2 13 7 1 10 
11,0 2 0 3 4 11 6 7 8 9 10 11 12 12 0 5 3 10 1 6 9 6 13 0 1 2 13 7 1 10 
12,0 2 0 3 4 11 6 7 8 9 10 11 12 12 0 5 3 10 1 6 9 6 13 0 1 2 13 7 1 10 
13,0 2 0 3 4 11 6 7 8 9 10 11 12 12 0 5 3 10 1 6 9 6 13 0 1 2 13 7 1 10 
14,0 2 0 3 4 11 6 7 8 9 10 11 12 12 0 5 3 10 1 6 9 6 13 0 1 2 13 7 1 10 
